account_id,client_id,account_type,base_currency,opened_date,status
A000000001,C00000634,CASH,GBP,2021-09-30,ACTIVE
A000000002,C00000158,CASH,USD,2020-08-12,ACTIVE
A000000003,C00000778,PRIME_BROKERAGE,HKD,2018-06-27,ACTIVE
A000000004,C00000460,MARGIN,USD,2016-06-30,ACTIVE
A000000005,C00000430,MARGIN,CAD,2025-10-14,ACTIVE
A000000006,C00000281,MARGIN,USD,2025-04-04,CLOSED
A000000007,C00000063,PRIME_BROKERAGE,EUR,2017-05-12,ACTIVE
A000000008,C00000546,PRIME_BROKERAGE,CAD,2022-07-26,ACTIVE
A000000009,C00000522,CASH,GBP,2017-04-15,ACTIVE
A000000010,C00000212,CASH,USD,2021-05-23,ACTIVE
A000000011,C00000010,PRIME_BROKERAGE,GBP,2016-01-24,ACTIVE
A000000012,C00000738,MARGIN,USD,2021-05-03,ACTIVE
A000000013,C00000275,MARGIN,USD,2025-04-03,ACTIVE
A000000014,C00000299,CASH,USD,2020-01-18,ACTIVE
A000000015,C00000277,PRIME_BROKERAGE,USD,2020-09-10,FROZEN
A000000016,C00000216,MARGIN,USD,2018-06-26,ACTIVE
A000000017,C00000996,CASH,USD,2020-05-09,ACTIVE
A000000018,C00000419,PRIME_BROKERAGE,USD,2024-12-28,ACTIVE
A000000019,C00000011,PRIME_BROKERAGE,USD,2020-01-02,ACTIVE
A000000020,C00000995,CASH,EUR,2023-11-22,ACTIVE
A000000021,C00000705,CASH,EUR,2021-08-27,ACTIVE
A000000022,C00000226,CASH,USD,2017-05-29,ACTIVE
A000000023,C00000238,PRIME_BROKERAGE,USD,2022-12-13,ACTIVE
A000000024,C00000096,MARGIN,USD,2022-04-30,ACTIVE
A000000025,C00000503,CUSTODY,USD,2019-12-14,ACTIVE
A000000026,C00000167,PRIME_BROKERAGE,JPY,2022-01-24,ACTIVE
A000000027,C00000074,MARGIN,USD,2017-04-01,ACTIVE
A000000028,C00000540,CASH,GBP,2026-01-05,ACTIVE
A000000029,C00000387,CASH,USD,2025-12-21,ACTIVE
A000000030,C00000660,CUSTODY,USD,2024-05-27,ACTIVE
A000000031,C00000962,MARGIN,USD,2026-01-25,CLOSED
A000000032,C00000109,MARGIN,JPY,2024-05-15,ACTIVE
A000000033,C00000492,PRIME_BROKERAGE,HKD,2022-08-14,ACTIVE
A000000034,C00000491,CASH,USD,2020-04-11,ACTIVE
A000000035,C00000127,CASH,USD,2019-08-16,ACTIVE
A000000036,C00000908,PRIME_BROKERAGE,USD,2021-03-31,ACTIVE
A000000037,C00000438,CASH,USD,2019-11-05,ACTIVE
A000000038,C00000901,MARGIN,EUR,2023-10-04,ACTIVE
A000000039,C00000113,CASH,CAD,2019-12-16,ACTIVE
A000000040,C00000631,CASH,USD,2024-05-17,ACTIVE
A000000041,C00000620,CASH,USD,2018-10-07,ACTIVE
A000000042,C00000696,MARGIN,HKD,2019-07-07,ACTIVE
A000000043,C00000294,CASH,USD,2015-01-30,ACTIVE
A000000044,C00000956,CASH,HKD,2024-07-25,ACTIVE
A000000045,C00000883,CUSTODY,USD,2022-12-28,ACTIVE
A000000046,C00000400,MARGIN,GBP,2015-07-19,ACTIVE
A000000047,C00000116,MARGIN,CAD,2020-01-12,ACTIVE
A000000048,C00000331,CUSTODY,USD,2017-08-22,ACTIVE
A000000049,C00000507,MARGIN,EUR,2016-12-28,ACTIVE
A000000050,C00000652,CASH,JPY,2020-10-05,ACTIVE
A000000051,C00000563,MARGIN,EUR,2014-05-02,ACTIVE
A000000052,C00000236,CASH,EUR,2016-10-25,ACTIVE
A000000053,C00000796,MARGIN,GBP,2024-04-27,ACTIVE
A000000054,C00000003,CASH,JPY,2018-02-24,ACTIVE
A000000055,C00000981,CASH,USD,2018-06-11,ACTIVE
A000000056,C00000870,PRIME_BROKERAGE,JPY,2019-09-01,ACTIVE
A000000057,C00000856,PRIME_BROKERAGE,CAD,2016-10-31,ACTIVE
A000000058,C00000848,CASH,GBP,2023-08-25,CLOSED
A000000059,C00000721,CASH,GBP,2016-10-01,ACTIVE
A000000060,C00000719,CASH,EUR,2015-08-01,ACTIVE
A000000061,C00000892,CASH,USD,2023-02-09,ACTIVE
A000000062,C00000079,CASH,JPY,2016-12-08,ACTIVE
A000000063,C00000187,MARGIN,USD,2014-06-13,ACTIVE
A000000064,C00000307,MARGIN,GBP,2016-04-26,ACTIVE
A000000065,C00000712,CASH,USD,2024-12-06,ACTIVE
A000000066,C00000033,MARGIN,USD,2022-09-06,ACTIVE
A000000067,C00000853,MARGIN,HKD,2016-02-02,ACTIVE
A000000068,C00000850,CASH,EUR,2019-05-31,ACTIVE
A000000069,C00000434,CUSTODY,USD,2024-03-19,ACTIVE
A000000070,C00000974,CASH,USD,2025-01-08,ACTIVE
A000000071,C00000189,PRIME_BROKERAGE,CAD,2024-07-18,ACTIVE
A000000072,C00000480,MARGIN,EUR,2017-03-11,ACTIVE
A000000073,C00000169,CASH,USD,2016-10-05,ACTIVE
A000000074,C00000112,CASH,USD,2018-10-02,ACTIVE
A000000075,C00000289,CASH,USD,2021-07-11,ACTIVE
A000000076,C00000775,CUSTODY,USD,2021-10-02,ACTIVE
A000000077,C00000034,CASH,USD,2025-04-09,ACTIVE
A000000078,C00000810,MARGIN,USD,2024-03-09,ACTIVE
A000000079,C00000009,CUSTODY,GBP,2017-05-07,ACTIVE
A000000080,C00000323,PRIME_BROKERAGE,GBP,2023-05-16,ACTIVE
A000000081,C00000100,CASH,HKD,2014-12-25,ACTIVE
A000000082,C00000827,PRIME_BROKERAGE,USD,2017-09-15,ACTIVE
A000000083,C00000890,PRIME_BROKERAGE,USD,2022-11-17,ACTIVE
A000000084,C00000081,PRIME_BROKERAGE,USD,2021-01-30,ACTIVE
A000000085,C00000827,MARGIN,USD,2022-08-31,FROZEN
A000000086,C00000514,MARGIN,GBP,2014-07-17,ACTIVE
A000000087,C00000350,MARGIN,USD,2019-10-03,ACTIVE
A000000088,C00000877,CUSTODY,USD,2017-08-01,ACTIVE
A000000089,C00000626,MARGIN,CAD,2015-02-13,ACTIVE
A000000090,C00000016,CASH,JPY,2024-04-27,ACTIVE
A000000091,C00000466,CASH,HKD,2022-08-28,ACTIVE
A000000092,C00000591,CASH,USD,2022-04-05,ACTIVE
A000000093,C00000472,CASH,USD,2020-07-14,ACTIVE
A000000094,C00000453,MARGIN,USD,2023-07-01,CLOSED
A000000095,C00000500,CASH,JPY,2017-04-14,ACTIVE
A000000096,C00000635,CUSTODY,USD,2018-01-19,ACTIVE
A000000097,C00000640,CUSTODY,USD,2017-01-04,ACTIVE
A000000098,C00000270,PRIME_BROKERAGE,CAD,2025-04-27,ACTIVE
A000000099,C00000660,CASH,GBP,2026-02-05,ACTIVE
A000000100,C00000108,CASH,USD,2017-04-28,ACTIVE
A000000101,C00000229,CASH,USD,2024-03-07,ACTIVE
A000000102,C00000480,MARGIN,HKD,2015-11-07,ACTIVE
A000000103,C00000185,PRIME_BROKERAGE,HKD,2017-05-17,ACTIVE
A000000104,C00000205,MARGIN,USD,2018-08-06,FROZEN
A000000105,C00000498,CASH,GBP,2023-09-18,ACTIVE
A000000106,C00000040,MARGIN,HKD,2023-01-05,ACTIVE
A000000107,C00000328,MARGIN,CAD,2017-09-30,ACTIVE
A000000108,C00000828,CASH,USD,2015-08-29,ACTIVE
A000000109,C00000217,PRIME_BROKERAGE,CAD,2016-10-16,ACTIVE
A000000110,C00000651,CASH,USD,2020-02-19,ACTIVE
A000000111,C00000306,PRIME_BROKERAGE,USD,2016-11-11,ACTIVE
A000000112,C00000686,PRIME_BROKERAGE,USD,2025-01-26,ACTIVE
A000000113,C00000924,MARGIN,CAD,2019-08-14,ACTIVE
A000000114,C00000358,CUSTODY,USD,2022-09-03,CLOSED
A000000115,C00000448,CASH,EUR,2017-07-20,ACTIVE
A000000116,C00000575,PRIME_BROKERAGE,EUR,2024-07-13,ACTIVE
A000000117,C00000593,MARGIN,USD,2019-03-07,ACTIVE
A000000118,C00000919,MARGIN,USD,2019-03-07,ACTIVE
A000000119,C00000994,MARGIN,USD,2026-03-12,FROZEN
A000000120,C00000966,PRIME_BROKERAGE,USD,2016-03-14,ACTIVE
A000000121,C00000593,CASH,USD,2022-01-25,ACTIVE
A000000122,C00000560,PRIME_BROKERAGE,EUR,2021-06-06,ACTIVE
A000000123,C00000976,CASH,EUR,2025-12-15,ACTIVE
A000000124,C00000373,CASH,HKD,2015-01-06,ACTIVE
A000000125,C00000128,MARGIN,EUR,2016-01-19,ACTIVE
A000000126,C00000361,CASH,EUR,2014-07-18,CLOSED
A000000127,C00000344,CASH,USD,2016-09-01,ACTIVE
A000000128,C00000567,MARGIN,EUR,2017-09-20,ACTIVE
A000000129,C00000676,MARGIN,USD,2019-12-04,ACTIVE
A000000130,C00000961,CUSTODY,JPY,2024-04-24,ACTIVE
A000000131,C00000107,CASH,USD,2017-01-19,ACTIVE
A000000132,C00000768,PRIME_BROKERAGE,HKD,2024-01-16,ACTIVE
